#,Game,Date,Price,Review,Owners,Playtime,Developer,Publisher,Month
885,Aliens: Fireteam Elite,23-Aug-21,11.99,0,1500000,00:00 (00:00),Cold Iron Studios,"Cold Iron Studios, Focus Entertainment",8
890,Townscaper,26-Aug-21,3.59,0,1500000,00:00 (00:00),Oskar St?lberg,Raw Fury,8
893,PICO PARK,7-May-21,3.99,0,1500000,00:00 (00:00),TECOPARK,TECOPARK,5
900,Paint the Town Red,29-Jul-21,9.99,0,1500000,00:00 (00:00),South East Games,South East Games,7
903,Draw & Guess,12-Mar-21,2.39,0,1500000,00:00 (00:00),Acureus,Acureus,3
905,Loop Hero,4-Mar-21,4.94,0,1500000,00:00 (00:00),Four Quarters,Devolver Digital,3
906,Bright Memory: Infinite,11-Nov-21,14.99,0,1500000,00:00 (00:00),FYQD-Studio,"FYQD-Studio, PLAYISM",11
908,OUTRIDERS,1-Apr-21,15.99,0,1500000,00:00 (00:00),People Can Fly,Square Enix,4
910,Five Nights at Freddy's: Security Breach,16-Dec-21,19.99,0,1500000,00:00 (00:00),Steel Wool Studios,ScottGames,12
911,Farming Simulator 22,21-Nov-21,39.99,0,1500000,00:03 (00:03),Giants Software,Giants Software,11
7893,Saving Grace,2-Jan-21,0.99,0,1500000,00:00 (00:00),Thomas JC Ironmonger,Ironmonger Games,1
7,Mini Motorways,20-Jul-21,8.99,87,750000,00:00 (00:00),Dinosaur Polo Club,Dinosaur Polo Club,7
13,Wildermyth,15-Jun-21,18.74,86,750000,00:00 (00:00),Worldwalker Games LLC,"Worldwalker Games LLC, WhisperGames",6
14,ENDER LILIES: Quietus of the Knights,21-Jun-21,12.49,86,750000,00:00 (00:00),"Live Wire, Adglobe",Binary Haze Interactive,6
16,Nioh 2 – The Complete Edition,5-Feb-21,29.99,86,750000,00:00 (00:00),"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",2
21,GUILTY GEAR -STRIVE-,11-Jun-21,29.99,85,750000,00:00 (00:00),Arc System Works,Arc System Works,6
43,Little Nightmares II,10-Feb-21,9.89,83,750000,00:00 (00:00),Tarsier Studios,BANDAI NAMCO Entertainment,2
49,Gloomhaven,20-Oct-21,20.99,82,750000,00:00 (00:00),Flaming Fowl Studios,Twin Sails Interactive,10
50,Eastward,16-Sep-21,14.99,82,750000,00:00 (00:00),Pixpil,Chucklefish,9
52,Clone Drone in the Danger Zone,27-Jul-21,9.99,82,750000,00:00 (00:00),Doborog Games,Doborog Games,7
75,Doki Doki Literature Club Plus!,30-Jun-21,10.04,81,750000,00:00 (00:00),Team Salvato,Serenity Forge,6
83,Impostor Factory,30-Sep-21,4.99,80,750000,00:00 (00:00),Freebird Games,Freebird Games,9
102,SCARLET NEXUS,24-Jun-21,14.99,78,750000,07:18 (03:39),BANDAI NAMCO Studios Inc.,BANDAI NAMCO Entertainment,6
119,Jurassic World Evolution 2,9-Nov-21,14.99,77,750000,04:32 (02:16),Frontier Developments,Frontier Developments,11
148,Chernobylite Enhanced Edition,28-Jul-21,13.49,75,750000,00:00 (00:00),The Farm 51,The Farm 51,7
149,Zombie Army 4: Dead War,18-Feb-21,9.99,74,750000,00:00 (00:00),Rebellion,Rebellion,2
170,Gas Station Simulator,15-Sep-21,13.99,72,750000,00:00 (00:00),DRAGO entertainment,"DRAGO entertainment, Movie Games S.A., HeartBeat Games",9
177,Backbone,8-Jun-21,7.49,72,750000,00:00 (00:00),Eggnut,Raw Fury,6
183,Breathedge,25-Feb-21,9.99,71,750000,00:00 (00:00),RedRuins Softworks,"HypeTrain Digital, RedRuins Softworks",2
187,Maneater,25-May-21,13.99,70,750000,00:00 (00:00),Tripwire Interactive,Tripwire Interactive,5
340,极限求生,3-Mar-21,0,0,750000,00:00 (00:00),陈 世杰,陈 世杰,3
659,VTube Studio,12-Mar-21,0,0,750000,00:00 (00:00),DenchiSoft,DenchiSoft,3
662,League of Maidens,25-Feb-21,0,0,750000,00:00 (00:00),Maiden Gaming Inc.,Maiden Gaming Inc.,2
665,XERA: Survival,26-Sep-21,0,0,750000,00:00 (00:00),Spotted Kiwi Interactive,Spotted Kiwi Interactive,9
667,SuchArt: Creative Space,21-Jan-21,0,0,750000,00:00 (00:00),Goose Minded,HypeTrain Digital,1
670,Hired Ops,13-Apr-21,0,0,750000,00:00 (00:00),Absolut Soft LLC,HH-Games,4
671,Legends of IdleOn - Idle MMO,2-Apr-21,0,0,750000,01:16 (00:38),Lavaflame2,Lavaflame2,4
757,ELYON,20-Oct-21,0,0,750000,00:00 (00:00),"Bluehole Studio, Inc.",Kakao Games Europe B.V.,10
776,Death Trash,5-Aug-21,15.99,0,750000,00:00 (00:00),Crafting Legends,Crafting Legends,8
824,Crysis Remastered,17-Sep-21,13.49,0,750000,00:00 (00:00),Crytek,Crytek,9
827,HighFleet,27-Jul-21,19.49,0,750000,00:00 (00:00),Konstantin Koshutin,MicroProse Software,7
829,Yakuza 3 Remastered,28-Jan-21,19.99,0,750000,00:00 (00:00),Ryu Ga Gotoku Studio,SEGA,1
830,Home Sweet Home : Survive,25-Mar-21,0,0,750000,00:00 (00:00),YGGDRAZIL GROUP PUBLIC COMPANY LIMITED,Shift Now,3
835,Record of Lodoss War-Deedlit in Wonder Labyrinth-,27-Mar-21,14.99,0,750000,00:00 (00:00),"Team Ladybug, WSS playground","WSS playground, PLAYISM",3
836,Eastern Exorcist,7-Jul-21,0,0,750000,00:00 (00:00),Wildfire Game（无锡野火数字科技有限公司）,bilibili,7
839,Airport CEO,4-Mar-21,6.24,0,750000,00:00 (00:00),Apog Labs,Apog Labs,3
849,Total War: ROME REMASTERED,29-Apr-21,14.99,0,750000,00:00 (00:00),"Creative Assembly, Feral Interactive",SEGA,4
850,Sniper Ghost Warrior Contracts 2,4-Jun-21,9.99,0,750000,00:00 (00:00),Underdog Studio,CI Games,6
851,Evil Genius 2: World Domination,30-Mar-21,9.99,0,750000,00:00 (00:00),Rebellion,Rebellion,3
852,Minecraft Dungeons,22-Sep-21,19.99,0,750000,00:00 (00:00),"Mojang Studios, ?Double Eleven",Xbox Game Studios,9
853,Kingdom Heroes 8,12-Jan-21,17.99,0,750000,00:00 (00:00),"USERJOY Technology Co.,Ltd.","USERJOY Technology Co.,Ltd.",1
855,Melvor Idle,18-Nov-21,5.99,0,750000,00:00 (00:00),Games by Malcs,Jagex Ltd,11
858,In Silence,29-Oct-21,6.99,0,750000,00:00 (00:00),Ravenhood Games,Ravenhood Games,10
859,Fear Surrounds,19-Oct-21,3.99,0,750000,00:00 (00:00),SaltyEgg Studio,Yooreka Studio,10
867,Escape Simulator,19-Oct-21,11.24,0,750000,00:00 (00:00),Pine Studio,Pine Studio,10
868,Sword and Fairy 7,21-Oct-21,14.99,0,750000,00:00 (00:00),"Softstar Technology (Beijing) Co., Ltd","CubeGame, Softstar Technology (Beijing) Co., Ltd",10
869,Cruelty Squad,15-Jun-21,9.99,0,750000,00:00 (00:00),Consumer Softproducts,Consumer Softproducts,6
873,MADNESS: Project Nexus,29-Sep-21,21.24,0,750000,00:00 (00:00),"GIBBING TREE, LLC","GIBBING TREE, LLC",9
874,Propnight,1-Dec-21,2.99,0,750000,00:00 (00:00),FNTASTIC,Mytona Fntastic,12
875,World War Z,21-Sep-21,23.99,0,750000,00:00 (00:00),Saber Interactive Inc,Saber Interactive Inc,9
877,"Ranch Simulator - Build, Farm, Hunt",4-Mar-21,16.74,0,750000,00:00 (00:00),Toxic Dog,Excalibur Games,3
878,Going Medieval,1-Jun-21,19.99,0,750000,00:00 (00:00),Foxy Voxel,The Irregular Corporation,6
880,The Ascent,29-Jul-21,8.99,0,750000,00:00 (00:00),Neon Giant,Curve Games,7
881,Demon Slayer -Kimetsu no Yaiba- The Hinokami Chronicles,15-Oct-21,29.99,0,750000,00:00 (00:00),CyberConnect2,SEGA,10
886,HUMANKIND,17-Aug-21,9.99,0,750000,00:00 (00:00),AMPLITUDE Studios,SEGA,8
887,Tales from the Borderlands,16-Feb-21,19.99,0,750000,00:00 (00:00),Telltale Games,2K,2
889,Sands of Salzaar,15-Dec-21,8.99,0,750000,00:00 (00:00),汉家松鼠Han-Squirrel Studio,XD,12
891,Timberborn,15-Sep-21,19.99,0,750000,00:00 (00:00),Mechanistry,Mechanistry,9
892,ROUNDS,1-Apr-21,2.99,0,750000,00:00 (00:00),Landfall,Landfall,4
894,NieR Replicant ver.1.22474487139...,23-Apr-21,23.99,0,750000,00:00 (00:00),"Square Enix, Toylogic Inc.",Square Enix,4
895,Car Mechanic Simulator 2021,11-Aug-21,14.99,0,750000,00:00 (00:00),Red Dot Games,PlayWay S.A.,8
896,Library Of Ruina,10-Aug-21,10.19,0,750000,00:00 (00:00),ProjectMoon,ProjectMoon,8
897,LoveChoice,15-Nov-21,1.59,0,750000,00:00 (00:00),Akaba Studio,Akaba Studio,11
