#,Game,Date,Price,Review,Owners,Playtime,Developer,Publisher,Month
9723,Twin Mirror,1-Dec-21,29.99,0,35000,00:00 (00:00),DON'T NOD,DON'T NOD,12
9724,Press Ctrl,16-Mar-21,1.33,0,35000,00:00 (00:00),Idan Rooze,Idan Rooze,3
9726,Fleeting Iris,23-Apr-21,13.99,0,35000,00:00 (00:00),Heaven Studios,Kagura Games,4
9729,Sacred Fire: A Role Playing Game,18-Oct-21,13.49,0,35000,00:00 (00:00),Poetic,Iceberg Interactive,10
9730,KeepUp Survival,26-Feb-21,10.99,0,35000,00:00 (00:00),Witte′s Studio,Witte′s Studio,2
9731,Dodgeball Academia,5-Aug-21,12.49,0,35000,00:00 (00:00),Pocket Trap,Humble Games,8
9732,Wanted Raccoon,19-Mar-21,7.99,0,35000,00:00 (00:00),MAD Sprouts,MAD Sprouts,3
9733,Rolled Out!,23-Mar-21,19.99,0,35000,00:00 (00:00),"Polarbyte Games, Skymap Games","Polarbyte Games, Skymap Games",3
9734,Annalynn,29-Jan-21,4.99,0,35000,00:00 (00:00),Cruise Elroy,Cruise Elroy,1
9738,Sutekina kanojo no tsukurikata,23-Apr-21,5.99,0,35000,00:00 (00:00),Sushi_soft,Sushi_soft,4
9739,First Feudal,8-Apr-21,4.99,0,35000,00:00 (00:00),Harpoon Games,"Harpoon Games, Gamera Games",4
9747,The Legend of Heroes: Sen no Kiseki I KAI -Thors Military Academy 1204-,7-Feb-21,34.99,0,35000,00:00 (00:00),Nihon Falcom,Clouded Leopard Entertainment,2
9753,King of Seas,25-May-21,4.99,0,35000,00:00 (00:00),3DClouds,Team17,5
9755,Monster Energy Supercross - The Official Videogame 4,11-Mar-21,5.99,0,35000,00:00 (00:00),Milestone S.r.l.,Milestone S.r.l.,3
9757,Cobra Kai: The Karate Kid Saga Continues,5-Jan-21,4.99,0,35000,00:00 (00:00),Flux Games,GameMill Entertainment,1
9760,Vtuber Simulator : Vtuber模擬器,8-Aug-21,1.99,0,35000,00:00 (00:00),Ryan阿煙,RA Studio,8
9761,Demon Turf,4-Nov-21,12.49,0,35000,00:00 (00:00),Fabraz,Playtonic Friends,11
9763,Armoured Commander II,4-Sep-21,10.79,0,35000,00:00 (00:00),Gregory Adam Scott,Gregory Adam Scott,9
9770,Serin Fate,25-Aug-21,7.99,0,35000,00:00 (00:00),Vethergen,Crytivo,8
9772,Jetborne Racing,27-May-21,2.99,0,35000,00:00 (00:00),"Boundless Dynamics, LLC","Boundless Dynamics, LLC",5
9773,NKODICE,28-May-21,4.99,0,35000,00:00 (00:00),KSYM,KSYM,5
9774,BUSTAFELLOWS,30-Jul-21,19.99,0,35000,00:00 (00:00),NIPPON CULTURAL BROADCASTING EXTEND INC.,PQube,7
9777,Bunhouse,19-Oct-21,14.99,0,35000,00:00 (00:00),Reky Studios,Reky Studios,10
9779,Malum,2-Sep-21,2.49,0,35000,00:00 (00:00),MalumGames,MalumGames,9
9781,鸢之歌-Singing Iris,11-Jan-21,1.99,0,35000,00:00 (00:00),WindField Games,"HeyBox Games, WindField Games",1
9782,下一站江湖Ⅰ,1-Apr-21,13.99,0,35000,00:00 (00:00),白玉京工作室,成都搜发互娱网络科技有限公司,4
9784,JUNKPUNK,12-Nov-21,7.99,0,35000,00:00 (00:00),SCT,SCT,11
9788,Actraiser Renaissance,23-Sep-21,17.99,0,35000,00:00 (00:00),"Square Enix, Sonic Powered",Square Enix,9
9793,Andy's Apple Farm,26-Nov-21,2.99,0,35000,00:00 (00:00),M36 Games,M36 Games,11
9796,Livestream: Escape from Hotel Izanami,10-Jun-21,9.99,0,35000,00:00 (00:00),"qureate, Orgesta Inc.",qureate,6
9801,Shadows of Forbidden Gods,1-Nov-21,19.99,0,35000,00:00 (00:00),Bobby Two Hands,Forbidden Oak Games Limited,11
9804,Space Warlord Organ Trading Simulator,7-Dec-21,11.99,0,35000,00:00 (00:00),Strange Scaffold,Strange Scaffold,12
9805,Power & Revolution 2021 Edition,4-Aug-21,34.99,0,35000,00:00 (00:00),Eversim,Eversim,8
9808,Re:ZERO -Starting Life in Another World- The Prophecy of the Throne,27-Jan-21,11.99,0,35000,00:00 (00:00),Chime Corporation,"Spike Chunsoft Co., Ltd.",1
9809,Love Tavern,31-Jul-21,4.54,0,35000,00:00 (00:00),Secret Labo,Secret Labo,7
9811,Happy Guy,26-Sep-21,1.34,0,35000,00:00 (00:00),HappyGames,HappyGames,9
9813,Pro Cycling Manager 2021,3-Jun-21,11.99,0,35000,00:00 (00:00),Cyanide Studio,Nacon,6
9814,Mr. Hopp's Playhouse 2,14-Jun-21,3.99,0,35000,00:00 (00:00),Moonbit,Moonbit,6
9816,Escape From School,7-Sep-21,0,0,35000,00:00 (00:00),Tudor Sandru,Tudor Sandru,9
9817,Attack on Toys,24-Sep-21,4.89,0,35000,00:00 (00:00),N7T-GAMES,N7T-GAMES,9
9819,Wrought Flesh,10-Dec-21,14.99,0,35000,00:00 (00:00),Deep Root Interactive,Deep Root Interactive,12
9820,Substance 3D Painter 2022,24-Nov-21,0,0,35000,00:00 (00:00),Adobe,Adobe,11
9821,Terminus: Zombie Survivors,1-Mar-21,12.79,0,35000,00:00 (00:00),???,Ingeon Games,3
9822,Camping Simulator: The Squad,28-May-21,2.49,0,35000,00:00 (00:00),CubeCube Sports Ltd.,CubeCube Sports Ltd.,5
9823,Legends of Ellaria,1-Apr-21,3.99,0,35000,00:00 (00:00),Larkon Studio,Larkon Studio,4
9824,Kraken Academy!!,10-Sep-21,7.19,0,35000,00:00 (00:00),Happy Broccoli Games,Fellow Traveller,9
9826,Tunche,2-Nov-21,7.99,0,35000,00:00 (00:00),LEAP Game Studios,HypeTrain Digital,11
9827,Nigate Tale,11-Apr-21,9.99,0,35000,00:00 (00:00),"Hermit Games, 2P Games",2P Games,4
9829,Kathy Rain: Director's Cut,26-Oct-21,5.99,0,35000,00:00 (00:00),Clifftop Games,Raw Fury,10
9830,SimCasino,16-Nov-21,14.99,0,35000,00:00 (00:00),LVGameDev LLC,LVGameDev LLC,11
9831,Combots,8-Jul-21,0.59,0,35000,00:00 (00:00),HardEdge Games,HardEdge Games,7
9832,Landlord of the Woods,17-Mar-21,0.28,0,35000,00:00 (00:00),Madison Karrh,Madison Karrh,3
9834,Hero of the Kingdom: The Lost Tales 2,19-Nov-21,2.09,0,35000,00:00 (00:00),Lonely Troops,Lonely Troops,11
9837,Cleo - a pirate's tale,12-Dec-21,3.74,0,35000,00:00 (00:00),Christoph Schultz,Christoph Schultz,12
9838,Titan Chaser,23-Feb-21,1.24,0,35000,00:00 (00:00),Stas Shostak,Stas Shostak,2
9839,Christmas Massacre,17-Dec-21,5.59,0,35000,00:00 (00:00),Puppet Combo,Puppet Combo,12
9846,Obama Boss Fight,24-Nov-21,0.89,0,35000,00:00 (00:00),xXx_Skipper_xXx,xXx_Skipper_xXx,11
9848,EARTH DEFENSE FORCE: WORLD BROTHERS,27-May-21,21.99,0,35000,00:00 (00:00),YUKE'S,D3PUBLISHER,5
9849,江湖余生：缘起,19-Apr-21,5.99,0,35000,00:00 (00:00),柚子丁工作室,INDIECN,4
9853,SkateBIRD,16-Sep-21,9.99,0,35000,00:00 (00:00),Glass Bottom Games,Glass Bottom Games,9
9856,Driver4VR,5-Apr-21,17.99,0,35000,00:00 (00:00),Frankly Dog,Frankly Dog,4
9858,秘密舞会,1-Mar-21,1.49,0,35000,00:00 (00:00),白露社,PeriScope Game,3
9860,SPOOKWARE,26-Aug-21,6.69,0,35000,00:00 (00:00),BEESWAX GAMES,DreadXP,8
9862,NEKO ARENA,25-Jan-21,0.59,0,35000,00:00 (00:00),Neko Cloud,Neko Cloud,1
9864,Starmancer,5-Aug-21,11.99,0,35000,00:00 (00:00),Ominux Games,Chucklefish,8
9865,Rem Survival,5-Mar-21,11.19,0,35000,00:00 (00:00),Immortal Hand Studios,Immortal Hand Studios,3
9866,Breakwaters,9-Dec-21,15.59,0,35000,00:00 (00:00),Soaring Pixels Games,Soaring Pixels Games,12
9868,Castle Flipper,26-May-21,1.89,0,35000,00:00 (00:00),▲ Pyramid Games,"Gaming Factory, Ultimate Games S.A.",5
9874,Frontier Pilot Simulator,7-Dec-21,24.99,0,35000,00:00 (00:00),RAZAR s.r.o.,RAZAR s.r.o.,12
9878,I'm on Observation Duty 4,22-Dec-21,4.49,0,35000,00:00 (00:00),Notovia,Notovia,12
9880,Rogue Fable III,22-Dec-21,5.99,0,35000,00:00 (00:00),Pixel Forge Games,Pixel Forge Games,12
9881,Pawnbarian,24-Sep-21,4.99,0,35000,00:00 (00:00),j4nw,j4nw,9
9887,Citystate II,23-Sep-21,9.99,0,35000,00:00 (00:00),Andy Sztark,Andy Sztark,9
9889,Ghosts 'n Goblins Resurrection,31-May-21,14.99,0,35000,00:00 (00:00),"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",5
9891,Rain on Your Parade,15-Apr-21,10.49,0,35000,00:00 (00:00),Unbound Creations,Unbound Creations,4
9892,Obsideo,27-Aug-21,11.99,0,35000,00:00 (00:00),Kyle's Garage,Kyle's Garage,8
9897,Re: LieF ~ Shin'ainaru Anata e~,26-Feb-21,17.49,0,35000,00:00 (00:00),RASK,HIKARI FIELD,2
9900,THE LEGEND OF HEROES: HAJIMARI NO KISEKI,25-Aug-21,59.99,0,35000,00:00 (00:00),Nihon Falcom,Clouded Leopard Entertainment,8
9904,Corpse Party (2021),20-Oct-21,13.99,0,35000,00:00 (00:00),MAGES.,"XSEED Games, Marvelous USA, Inc.",10
9905,仙绣剑缘录,29-Oct-21,19.99,0,35000,00:00 (00:00),熊窝dodox,"熊窝dodox, RuiXiao",10
9908,"Peace, Death! 2",7-Oct-21,1.49,0,35000,00:00 (00:00),AZAMATIKA,AZAMATIKA,10
9918,BLUE REFLECTION: Second Light,8-Nov-21,29.99,0,35000,00:00 (00:00),"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",11
9919,Vomitoreum,30-Jul-21,4.99,0,35000,00:00 (00:00),Scumhead,Scumhead,7
9922,Song of Farca,21-Jul-21,6.79,0,35000,00:00 (00:00),Wooden Monkeys,"Alawar Premium, East2West Games",7
9925,Letters From a Rainy Day -Oceans and Lace-,29-Jun-21,11.89,0,35000,00:00 (00:00),Lily Spinel,"HUBLOTS, mirai works",6
9928,Aquarium Designer,21-Oct-21,6.49,0,35000,00:00 (00:00),Sigur Studio,"Games Operators, PlayWay S.A.",10
9933,The Shadow of Yidhra,15-Apr-21,6.04,0,35000,00:00 (00:00),WhitePeach,WhitePeach,4
9934,球球少女/Pinball Girls,17-Feb-21,1.73,0,35000,00:00 (00:00),Twilight Sonata Studio,Twilight Sonata Studio,2
9935,Tiny Lands,21-Jan-21,4.19,0,35000,00:00 (00:00),Hyper Three Studio,Maple Whispering Limited,1
9937,Operator,23-Jan-21,0,0,35000,00:00 (00:00),Chemical Games Studio,Chemical Games Studio,1
9938,[Chilla's Art] Night Delivery | 例外配達,4-Jun-21,2.69,0,35000,00:00 (00:00),Chilla's Art,Chilla's Art,6
9943,СИМУЛЯТОР ОДИНОЧЕСТВА В РУССКОЙ ДЕРЕВНЕ,9-Apr-21,1.99,0,35000,00:00 (00:00),Guilty Pleasure Games,Guilty Pleasure Games,4
9945,Pascal's Wager: Definitive Edition,11-Mar-21,9.99,0,35000,00:00 (00:00),TipsWorks,Giant Global,3
9946,Find Yourself,21-Feb-21,2.37,0,35000,00:00 (00:00),EMIKA_GAMES,EMIKA_GAMES,2
9949,Princess&Blade,7-Jul-21,7.49,0,35000,00:00 (00:00),XP Liu,XP Liu,7
9952,Furry Feet,10-Aug-21,1.49,0,35000,00:00 (00:00),bhungry,bhungry,8
9953,Surgeon Simulator 2,2-Sep-21,6.99,0,35000,00:00 (00:00),Bossa Studios,tinyBuild,9
9955,Colony Ship: A Post-Earth Role Playing Game,6-Apr-21,26.24,0,35000,00:00 (00:00),Iron Tower Studio,Iron Tower Studio,4
9960,Cats in Time,26-Aug-21,3.99,0,35000,00:00 (00:00),Pine Studio,Pine Studio,8
9965,WitchSpring3 Re:Fine - The Story of Eirudy -,1-Nov-21,29.99,0,35000,00:00 (00:00),"KIWIWALKS, IKINAGAMES",KIWIWALKS,11
9967,Dogs Organized Neatly,1-Nov-21,2.09,0,35000,00:00 (00:00),DU&I,DU&I,11
9968,Ancient Dungeon,3-Nov-21,13.99,0,35000,00:00 (00:00),Eric Thullen,Eric Thullen,11
9969,Enter The Backrooms,12-Feb-21,4.99,0,35000,00:00 (00:00),Justin Kroh,Cosmic Crow Creations,2
9981,Dead Age 2: The Zombie Survival RPG,12-Mar-21,3.59,0,35000,00:00 (00:00),Silent Dreams,Headup Publishing,3
9985,Bloodwash,16-Sep-21,5.59,0,35000,00:00 (00:00),"Black Eyed Priest, Henry Hoare",Torture Star Video,9
9989,Perfect Gold - Yuri Visual Novel,19-Apr-21,5.59,0,35000,00:00 (00:00),Yangyang Mobile,Yangyang Mobile,4
9993,No Straight Roads: Encore Edition,21-Oct-21,12.49,0,35000,00:00 (00:00),Metronomik,Fireshine Games,10
9996,Brutal Orchestra,17-Dec-21,13.99,0,35000,00:00 (00:00),"Talia bob Mair, Nicolás Delgado",Hellbent Games,12
10001,Utawarerumono: Prelude to the Fallen,22-Jan-21,29.99,0,35000,00:00 (00:00),AQUAPLUS,"DMM GAMES, Shiravune",1
10002,Voice of Cards: The Isle Dragon Roars,28-Oct-21,14.99,0,35000,00:00 (00:00),Square Enix,Square Enix,10
10004,Sailwind,18-Oct-21,19.99,0,35000,00:00 (00:00),Raw Lion Workshop,Raw Lion Workshop,10
10011,Chasing Tails ~A Promise in the Snow~,13-Aug-21,3.91,0,35000,00:00 (00:00),"the last evil wizard, Nupu Neko Dev",Nupu Neko Dev,8
10014,Aeterna Noctis,14-Dec-21,11.99,0,35000,00:00 (00:00),Aeternum Game Studios S.L,Aeternum Game Studios S.L,12
10016,Hmmsim Metro,25-Jun-21,19.99,0,35000,00:00 (00:00),Jeminie Interactive,Jeminie Interactive,6
10017,Adios,16-Mar-21,9.89,0,35000,00:00 (00:00),Mischief,Mischief,3
10019,SAMURAI WARRIORS 5,26-Jul-21,35.99,0,35000,00:00 (00:00),"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",7
10032,Ziggurat 2,28-Oct-21,14.99,0,35000,00:00 (00:00),Milkstone Studios,Milkstone Studios,10
10034,Workplace Rhapsody,29-Sep-21,2.99,0,35000,00:00 (00:00),YooGame,YooGame,9
10038,Cricket 22,1-Dec-21,44.99,0,35000,00:00 (00:00),Big Ant Studios,Nacon,12
10044,Sakura Hime,15-Oct-21,2.79,0,35000,00:00 (00:00),GirlGames,GirlGames,10
10050,BRAVELY DEFAULT II,2-Sep-21,29.99,0,35000,00:00 (00:00),"Square Enix, Claytechworks",Square Enix,9
10051,Castlevania Advance Collection,23-Sep-21,11.99,0,35000,00:00 (00:00),Konami Digital Entertainment,Konami Digital Entertainment,9
10053,Voxel Tycoon,15-Apr-21,24.99,0,35000,00:00 (00:00),Voxel Tycoon,Voxel Tycoon,4
10063,Ys IX: Monstrum Nox,6-Jul-21,41.99,0,35000,00:00 (00:00),"Nihon Falcom, PH3 GmbH, Engine Software BV","NIS America, Inc.",7
10070,Kinkoi: Golden Loveriche,11-Jun-21,22.74,0,35000,00:00 (00:00),Saga Planets,"NekoNyan Ltd., HIKARI FIELD",6
10071,My Child Lebensborn,31-May-21,7.99,0,35000,00:00 (00:00),"Sarepta studio, Teknopilot",East2West Games,5
10075,Scarlet Hollow,11-Jun-21,18.74,0,35000,00:00 (00:00),Black Tabby Games,Black Tabby Games,6
10077,Grand Tactician: The Civil War (1861-1865),24-Sep-21,33.74,0,35000,00:00 (00:00),Grand Engineer Corps,Grand Engineer Corps,9
10079,Ultimate Admiral: Age of Sail,7-Apr-21,14.99,0,35000,00:00 (00:00),Game-Labs,Game-Labs,4
10091,Saints Row: The Third Remastered,21-May-21,9.99,0,35000,00:00 (00:00),"Deep Silver Volition, Sperasoft",Deep Silver,5
9,Blind Drive,10-Mar-21,4.99,87,10000,00:00 (00:00),Lo-Fi People,Lo-Fi People,3
10,The Last Friend,30-Sep-21,4.49,86,10000,00:00 (00:00),"The Stonebot Studio, Ludus Games",Skystone Games,9
11,Cook-Out,20-Apr-21,9.99,86,10000,00:00 (00:00),Resolution Games,Resolution Games,4
29,Humanity Lost,26-Apr-21,3.99,84,10000,00:00 (00:00),Crafty Game Lab,Crafty Game Lab,4
30,Sam & Max: Beyond Time and Space,8-Dec-21,13.99,84,10000,00:00 (00:00),Skunkape Games,Skunkape Games,12
35,Sunlight,14-Jan-21,1.99,83,10000,00:00 (00:00),Krillbite Studio,Krillbite Studio,1
53,Blake: The Visual Novel,31-Aug-21,0,82,10000,00:00 (00:00),Ori Mees,LegendOri Productions,8
56,Kaze and the Wild Masks,26-Mar-21,4.99,82,10000,00:00 (00:00),PixelHive,SOEDESCO,3
59,Rainbow Billy: The Curse of the Leviathan,5-Oct-21,4.99,81,10000,00:00 (00:00),ManaVoid Entertainment,Skybound Games,10
61,Bonfire Peaks,30-Sep-21,11.99,81,10000,00:00 (00:00),Corey Martin,Draknek,9
62,Ynglet,5-Jun-21,2.99,81,10000,00:00 (00:00),Nifflas,Triple Topping,6
63,Flynn: Son of Crimson,15-Sep-21,9.99,81,10000,00:00 (00:00),Studio Thunderhorse,Humble Games,9
67,The Pathless,16-Nov-21,15.99,81,10000,00:00 (00:00),Giant Squid,Annapurna Interactive,11
85,Super Magbot,22-Jun-21,2.49,80,10000,00:00 (00:00),Astral Pixel,Team17,6
88,Time Loader,3-Nov-21,4.49,79,10000,00:00 (00:00),Flazm,META Publishing,11
105,Song in the Smoke,16-Dec-21,20.09,78,10000,00:00 (00:00),17-BIT,17-BIT,12
107,Sunblaze,3-Jun-21,2.99,78,10000,00:00 (00:00),Games From Earth,Bonus Stage Publishing,6
113,Aeon Drive,30-Sep-21,4.49,77,10000,00:00 (00:00),2Awesome Studio,CRITICAL REFLEX,9
114,Mayhem Brawler,19-Aug-21,9.99,77,10000,00:00 (00:00),Hero Concept,Hero Concept,8
115,The Big Con,31-Aug-21,5.09,77,10000,00:00 (00:00),Mighty Yell,Skybound Games,8
131,Wraith: The Oblivion - Afterlife,25-May-21,7.99,76,10000,00:00 (00:00),Fast Travel Games,Fast Travel Games,5
132,Room to Grow,25-Feb-21,3.49,76,10000,00:00 (00:00),Mischka Kamener,Mischka Kamener,2
135,Arcadia Fallen,17-Nov-21,14.99,76,10000,00:00 (00:00),Galdra Studios,Galdra Studios,11
136,The Wild at Heart,19-May-21,12.49,76,10000,00:00 (00:00),Moonlight Kids,Humble Games,5
138,Vesper: Zero Light Edition,30-Jul-21,4.99,75,10000,00:00 (00:00),Cordens Interactive,Cordens Interactive,7
140,Grotto,26-Oct-21,3.24,75,10000,00:00 (00:00),Brainwash Gang,Digerati,10
141,Ambition: A Minuet in Power,18-Aug-21,9.99,75,10000,00:00 (00:00),Joy Manufacturing Co.,Iceberg Interactive,8
142,Field of Glory II: Medieval,4-Feb-21,14.99,75,10000,00:00 (00:00),Byzantine Games,Slitherine Ltd.,2
143,Arboria,9-Sep-21,7.99,75,10000,00:00 (00:00),Dreamplant,All in! Games,9
151,Lamentum,27-Aug-21,5.43,74,10000,00:00 (00:00),Obscure Tales,Neon Doctrine,8
156,A Rogue Escape,10-Jun-21,5.99,73,10000,00:00 (00:00),Spare Parts Oasis,Armor Games Studios,6
158,Tandem: A Tale of Shadows,20-Oct-21,4.49,73,10000,00:00 (00:00),Monochrome Paris,Hatinh Interactive,10
159,No Longer Home,30-Jul-21,5.99,73,10000,00:00 (00:00),"Humble Grove, Hana Lee, Cel Davison, Adrienne Lombardo, Eli Rainsberry",Fellow Traveller,7
161,They Always Run,20-Oct-21,3.89,73,10000,00:00 (00:00),Alawar Premium,Alawar Premium,10
173,Mundaun,16-Mar-21,9.99,72,10000,00:00 (00:00),Hidden Fields,Annapurna Interactive,3
178,Viola: The Heroine's Melody,17-Feb-21,14.99,71,10000,00:00 (00:00),Jelle van Doorne,Jelle van Doorne,2
179,Mutropolis,18-Feb-21,12.99,71,10000,00:00 (00:00),Pirita Studio,Application Systems Heidelberg,2
189,Fire Tonight,12-Aug-21,5.99,70,10000,00:00 (00:00),Reptoid Games,Way Down Deep,8
192,Sword of the Necromancer,28-Jan-21,2.99,69,10000,00:00 (00:00),Grimorio of Games,"JanduSoft, Game Seer Ventures",1
195,Ink.,3-Feb-21,3.29,68,10000,00:00 (00:00),cpsoft,cpsoft,2
196,Pecaminosa - A Pixel Noir Game,27-May-21,14.99,68,10000,00:00 (00:00),Cereal Games,Cereal Games,5
197,Chronicle of Innsmouth: Mountains of Madness,23-Mar-21,11.99,68,10000,00:00 (00:00),PsychoDev,AtomicHorde,3
198,Recompile,19-Aug-21,6.99,68,10000,00:00 (00:00),Phigames,Dear Villagers,8
199,Clash of Chefs VR,16-Sep-21,9.99,68,10000,00:00 (00:00),Flat Hill Games,Flat Hill Games,9
202,NERVE,16-Feb-21,11.99,67,10000,00:00 (00:00),Gunfish Games,Gunfish Games,2
206,Warp Frontier,28-Sep-21,9.74,66,10000,00:00 (00:00),Brawsome,Brawsome,9
207,RetroMania Wrestling,25-Feb-21,14.99,66,10000,00:00 (00:00),Retrosoft Studios,Retrosoft Studios,2
208,Undungeon,18-Nov-21,7.99,66,10000,00:00 (00:00),Laughing Machines,tinyBuild,11
212,Redout: Space Assault,22-Jan-21,4.49,65,10000,00:00 (00:00),34BigThings srl,34BigThings srl,1
218,Prince of Qin,26-Oct-21,1.99,61,10000,00:00 (00:00),Object Software,Strategy First,10
219,Buildings Have Feelings Too!,22-Apr-21,4.99,53,10000,00:00 (00:00),Blackstaff Games,"MG Publishing, Maple Whispering Limited",4
221,Shelter 3,30-Mar-21,5.99,52,10000,00:00 (00:00),Might and Delight,Might and Delight,3
222,Flow Weaver,3-May-21,19.99,48,10000,00:00 (00:00),"Games by Stitch, Silverstring Media Inc.","Canada Media Fund, Ontario Creates, The Games Institute",5
223,异形杀手：初现 Alien Killer: Appearance,1-Jan-21,0,0,10000,00:00 (00:00),海马兄弟工作室 Hippocampus Brothers Studio,海马兄弟工作室 Hippocampus Brothers Studio,1
224,Bikini Island Challenge,5-Jan-21,0,0,10000,00:00 (00:00),Instantiated Entertainment,Instantiated Entertainment,1
225,College Kings - Act I,5-Mar-21,0,0,10000,00:00 (00:00),Undergrad Steve,Undergrad Steve,3
226,Lands Of Peace: Legends - Chapter 1,25-Jan-21,0,0,10000,00:00 (00:00),Steve Madison,Steve Madison,1
227,Merge Nymphs,11-Feb-21,0,0,10000,00:00 (00:00),Fadorable Games LTD,Nutaku Publishing,2
228,Rogue Card Playtest,3-Jan-21,0,0,10000,00:00 (00:00),,,1
229,NEX:OS Playtest,7-Jan-21,0,0,10000,00:00 (00:00),,,1
230,The Surfeit: Episode 1,31-Jan-21,0,0,10000,00:00 (00:00),WB Freeborn,Wild Tirki Fiction,1
231,The Deep Deep Playtest,10-Jan-21,0,0,10000,00:00 (00:00),,,1
232,Oddinary Highway Playtest,14-Jan-21,0,0,10000,00:00 (00:00),,,1
233,Harvest Island Playtest,15-Jan-21,0,0,10000,00:00 (00:00),,,1
234,TopplePOP: Bungee Blockbusters Playtest,17-Jan-21,0,0,10000,00:00 (00:00),,,1
235,Xenonauts 2 Playtest,21-Jan-21,0,0,10000,00:00 (00:00),,,1
236,Prometheus Playtest,21-Jan-21,0,0,10000,00:00 (00:00),,,1
237,OnlyCans: Thirst Date,12-Feb-21,0,0,10000,00:00 (00:00),OnlyCans Team,OnlyCans Team,2
238,Time to Morp Playtest,1-Feb-21,0,0,10000,00:00 (00:00),,,2
239,Meor Playtest,3-Feb-21,0,0,10000,00:00 (00:00),,,2
240,Chernobyl Liquidators Simulator Playtest,5-Feb-21,0,0,10000,00:00 (00:00),,,2
241,Apocrypha Playtest,6-Feb-21,0,0,10000,00:00 (00:00),,,2
242,RAWMEN Playtest,18-Feb-21,0,0,10000,00:00 (00:00),,,2
243,Disruption Playtest,26-Feb-21,0,0,10000,00:00 (00:00),,,2
244,From Rust Playtest,22-Feb-21,0,0,10000,00:00 (00:00),,,2
245,Wigged Out Playtest,27-Feb-21,0,0,10000,00:00 (00:00),,,2
246,Army Ops Playtest,3-Mar-21,0,0,10000,00:00 (00:00),,,3
247,Traverse The Void Playtest,4-Mar-21,0,0,10000,00:00 (00:00),,,3
248,Horns of Justice Playtest,7-Mar-21,0,0,10000,00:00 (00:00),,,3
249,Princesses vs Dragons: Royal Rumble,1-Feb-21,0,0,10000,00:00 (00:00),Insert Dragon Here,tylobix,2
250,Galaxy V,15-Jan-21,0,0,10000,00:00 (00:00),Everett Barrus,Everett Barrus,1
251,王国的魔法战争,26-Jan-21,0,0,10000,00:00 (00:00),武汉幻狮科技有限公司,武汉幻狮科技有限公司,1
252,Escape of Pinball,15-Feb-21,0,0,10000,00:00 (00:00),Woodlouse GameStudio.,Woodlouse GameStudio.,2
253,Eternal Vortex - Beta,1-Jan-21,0,0,10000,00:00 (00:00),Cronux Games,Cronux Games,1
254,Condors Vs Ocelots,19-Mar-21,0,0,10000,00:00 (00:00),Titanomachy Studios,Titanomachy Studios,3
255,Aliens Adventure,4-Jan-21,0,0,10000,00:00 (00:00),AliensGames,AliensGames,1
256,Abandoned Life,5-Jan-21,0,0,10000,00:00 (00:00),"Parmjit Singh, Parul",Independent Developer,1
257,Wargs,27-Aug-21,0,0,10000,00:00 (00:00),Hoopoe,Hoopoe,8
258,Zero-G Revolution,10-Jan-21,0,0,10000,00:00 (00:00),YZPocket,YZPocket,1
259,After Off War,21-May-21,0,0,10000,00:00 (00:00),DAY DAY UP GAME,DAY DAY UP GAME,5
260,Thingamajig,5-May-21,0,0,10000,00:00 (00:00),Spatiality LLC,Spatiality LLC,5
261,Retention: A Love Story,1-Mar-21,0,0,10000,00:00 (00:00),"Gavin Looker, Nick Mellott, Alex Runnels, Shawn Lascelles, Lyndell Goldson, Conrad Miller, Josh Finklestein, Liz Hanson, Nick Ciulla, Justin Vaz, Kiane Thomas, Noah Scarborough, Max Weyant, Edward Oliver, Amba Moore, Jingyi Song, Kath",207 Studios,3
263,Super Dig Man Deluxe,29-Jan-21,0,0,10000,00:00 (00:00),Steam Blade Games,Steam Blade Games,1
266,Wayports,12-Mar-21,0,0,10000,00:00 (00:00),"Wayports, Inc.","Wayports, Inc., Interlink France SAS, Interlink Inc.",3
268,The Seasons Collection: Spring,12-Feb-21,0,0,10000,00:00 (00:00),"Rohaan Siddiqui, Dhairya Khara",RDNA Games,2
269,Show me VR,16-Mar-21,0,0,10000,00:00 (00:00),SHOWMEVR,SHOWMEVR,3
270,Horus IDLE,6-Jan-21,0,0,10000,00:00 (00:00),Kadragon,Kadragon,1
272,The Light of Summer,18-Feb-21,0,0,10000,00:00 (00:00),"Mareffy, Mareffy's games",Mareffy,2
274,Mirastell,22-Aug-21,0,0,10000,00:00 (00:00),Julius Condemi,"Trexus183, LLC",8
275,Gravels of Endless War,29-Jan-21,0,0,10000,00:00 (00:00),Zoltán Kucsik,Zoltán Kucsik,1
277,VR Library: Beyond Reading,26-Jan-21,0,0,10000,00:00 (00:00),Looksten Inc.,National Library of Korea,1
279,Splunk VR,8-Feb-21,0,0,10000,00:00 (00:00),Splunk Inc.,Splunk Inc.,2
281,Blaze,4-Jan-21,0,0,10000,00:00 (00:00),"Charcoal Games, Filip Konjevod, Wyatt Johnson, Jake Elliott, Trey Kusterer, Kat Townsend, Jake Durham, Bryetan Dean, Will Groves",Charcoal Games,1
284,Omniblast,1-Mar-21,0,0,10000,00:00 (00:00),John Borkowski,BorkoBoks Studio,3
